Month,Accord Series,Civic Series,CR-V Series,Compact Series,Global Models,Period,sub
Jan,0.98120167,1.392885952,1.545604759,1.132072779,1.258778835,31-01-2024,1.00
Feb,0.859444297,1.076156754,1.326735513,0.941043507,1.058219108,28-02-2024,1.00
Mar,0.708562147,1.378720449,1.138355552,0.920476449,1.019245779,30-03-2024,1.00
Apr,0.535818636,1.423014587,1.033822749,0.955308924,0.94583745,30-04-2024,1.00
May,0.868135795,1.066948716,0.948390995,0.843103413,0.92819105,30-05-2024,1.00
Jun,0.926337954,0.9797563,0.971811757,0.88791622,0.942555919,30-06-2024,1.00
Jul,0.987828171,0.698385746,0.946185343,0.842835845,0.863214688,30-07-2024,1.00
Aug,1.100633733,0.670661609,1.041660494,0.729148806,0.866654195,30-08-2024,1.00
Sep,0.898329654,0.587395888,0.821676533,0.783503244,0.763897662,30-09-2024,1.00
Oct,0.764868126,0.697455394,0.890118612,0.722386561,0.779660934,30-10-2024,1.00
