Year,Period,Month,Japan,Japan Registered Vehicle,Japan Mini-Vehicle,North America,United States,Canada,Mexico,Rest of North America,South America,Brazil,Rest of South America,Europe,EU,Rest of Europe,Middle East/Africa,Asia & Oceanea,Thailand,Malaysia,Indonesia,India,Rest of Asia,China,JV GAC,Dongfeng,Other,Global Retail Sales ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30-01-2024,Jan,"53,402","28,882","24,520","1,06,175","93,210","8,165","3,537","1,263","5,948","5,154",794,"6,944","6,082",862,"3,042","43,546","8,298","7,066","10,019","8,290","9,873","1,01,139","54,082","46,879",178,"3,20,196",
2024,29-02-2024,Feb,"57,147","33,165","23,982","1,24,845","1,10,110","10,238","3,441","1,056","6,351","5,443",908,"7,626","5,477","2,149","3,133","38,815","8,591","6,220","9,019","6,948","8,037","45,674","24,162","21,336",176,"2,83,591",
2024,30-03-2024,Mar,"73,321","45,584","27,737","1,47,150","1,30,504","11,832","3,515","1,299","7,441","6,415","1,026","15,782","12,807","2,975","3,038","45,675","8,219","8,282","10,423","7,241","11,510","60,577","30,118","30,331",128,"3,52,984",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30-04-2024,Apr,"50,142","30,030","20,112","1,31,524","1,16,586","10,392","3,361","1,185","7,909","7,166",743,"7,304","5,949","1,355","1,825","29,833","5,743","4,736","6,441","5,246","7,667","73,974","33,510","40,320",144,"3,02,511",
2024,30-05-2024,May,"48,524","27,744","20,780","1,44,285","1,27,129","12,181","3,881","1,094","7,235","6,448",787,"8,403","5,262","3,141","1,956","34,140","6,534","6,374","7,805","5,660","7,767","66,332","40,134","26,068",130,"3,10,875",
2024,30-06-2024,Jun,"59,246","34,957","24,289","1,27,464","1,12,742","10,459","3,230","1,033","8,268","7,493",775,"9,305","6,109","3,196","2,020","34,003","6,127","6,538","7,625","5,554","8,159","69,112","34,527","34,439",146,"3,09,418",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30-07-2024,Jul,"59,782","35,784","23,998","1,37,372","1,20,737","11,763","3,805","1,067","9,400","8,430",970,"7,779","6,131","1,648","1,356","34,179","5,446","6,906","7,709","5,024","9,094","52,757","31,085","21,482",190,"3,02,625",
2024,30-08-2024,Aug,"45,868","25,657","20,211","1,57,240","1,39,950","12,689","3,563","1,038","7,562","6,716",846,"7,237","4,725","2,512","1,618","32,861","5,006","7,388","8,515","5,371","6,581","57,091","32,462","24,497",132,"3,09,477",
