,Column1,Column2,Column3,Column4,Column5,Column6,Column7
,,,,,,,
,Year,Month/Quarter,Global models,Accord Series,Civic Series,CR-V Series,Compact Series
,,,,,,,
Jan,2023,31-01-2023,"1,35,297","30,907","26,033","36,312","42,045"
Feb,2023,28-02-2023,"1,46,275","26,381","33,326","38,346","48,222"
March,2023,31-03-2023,"1,87,054","38,787","31,683","55,885","60,699"
,,,,,,,
April,2023,30-04-2023,"1,76,118","46,889","28,999","56,530","43,700"
May,2023,31-05-2023,"1,81,774","33,580","34,982","64,543","48,669"
June,2023,30-06-2023,"1,76,328","28,495","36,110","62,260","49,463"
,,,,,,,
jul,2023,31-07-2023,"1,80,341","26,701","44,169","59,835","49,636"
Aug,2023,31-08-2023,"1,87,085","26,194","51,148","60,753","48,990"
Sep,2023,30-09-2023,"2,04,225","30,353","51,507","68,415","53,950"
,,,,,,,
Oct,2023,31-10-2023,"2,04,916","34,806","46,294","68,037","55,779"
Nov,2023,30-11-2023,"1,88,774","31,259","40,814","61,894","54,807"
Dec,2023,31-12-2023,"2,39,287","41,845","47,863","87,325","62,254"
,,,,,,,
,,,,,,,
Jan,2024,31-01-2024,"1,70,309","30,326","36,261","56,124","47,598"
Feb,2024,29-02-2024,"1,54,791","22,673","35,864","50,875","45,379"
March,2024,31-03-2024,"1,90,654","27,483","43,682","63,617","55,872"
,,,,,,,
April,2024,30-04-2024,"1,66,579","25,124","41,266","58,442","41,747"
May,2024,31-05-2024,"1,68,721","29,152","37,324","61,212","41,033"
June,2024,30-06-2024,"1,66,199","26,396","35,379","60,505","43,919"
,,,,,,,
jul,2024,31-07-2024,"1,55,673","26,376","30,847","56,615","41,835"
Aug,2024,31-08-2024,"1,62,138","28,830","34,303","63,284","35,721"
Sep,2024,30-09-2024,"1,56,007","27,267","30,255","56,215","42,270"
,,,,,,,
Oct,2024,31-10-2024,"1,59,765","26,622","32,288","60,561","40,294"
Nov,2024,30-11-2024,,,,,
Dec,2024,31-12-2024,,,,,
