Year,Period,Month,North America,USA,Europe,Asia,Others,Export Total
2023,30-01-2023,Jan,223,223,"3,936",167,653,"4,979"
2023,28-02-2023,Feb,258,242,"3,051",341,876,"4,526"
2023,30-03-2023,Mar,453,453,"5,066",547,"1,007","7,073"
,,,,,,,,
2023,30-04-2023,Apr,367,316,"4,565",426,"1,195","6,553"
2023,30-05-2023,May,213,193,"4,309",656,"1,659","6,837"
2023,30-06-2023,Jun,334,334,"4,037",847,"2,353","7,571"
,,,,,,,,
2023,30-07-2023,Jul,320,320,"3,526",630,"1,451","5,927"
2023,30-08-2023,Aug,328,328,"3,152",817,"1,347","5,644"
2023,30-09-2023,Sep,237,237,"4,578",869,"1,794","7,478"
,,,,,,,,
2023,30-10-2023,Oct,683,602,"6,378",633,"2,487","10,181"
2023,30-112023,Nov,221,221,"5,662",265,783,"6,931"
2023,30-12-2023,Dec,"1,324","1,288","6,371",212,"3,692","11,599"
,,,,,,,,
,,,,,,,,
2024,30-01-2024,Jan,270,270,"4,178",368,"1,973","6,789"
2024,29-02-2024,Feb,613,613,"6,690",365,"2,269","9,937"
2024,30-03-2024,Mar,632,632,"5,748",263,"1,819","8,462"
,,,,,,,,
2024,30-04-2024,Apr,551,551,"4,529",327,"1,168","6,575"
2024,30-05-2024,May,62,12,"3,685",521,"2,358","6,626"
2024,30-06-2024,Jun,583,533,"2,587",433,"2,697","6,300"
,,,,,,,,
2024,30-07-2024,Jul,472,472,"1,839",381,"2,200","4,892"
2024,30-08-2024,Aug,754,730,"2,603",284,"2,115","5,756"
2024,30-09-2024,Sep,278,241,"3,043",346,"2,526","6,193"
,,,,,,,,
2024,30-10-2024,Oct,667,611,"4,327",472,"3,454","8,920"
2024,30-11-2024,Nov,,,,,,
2024,30-12-2024,Dec,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
